on x=-48..6,y=-13..40,z=-12..35
on x=-44..0,y=-24..28,z=-21..24
on x=-26..28,y=-19..35,z=-34..15
on x=-33..14,y=-48..1,z=-9..42
on x=-15..34,y=-24..28,z=-15..37
on x=-5..40,y=-43..11,z=0..47
on x=-47..5,y=-19..34,z=-16..31
on x=-49..2,y=-42..7,z=-11..43
on x=-15..31,y=-6..48,z=-41..6
on x=-48..-3,y=-18..36,z=-26..28
off x=-22..-11,y=-42..-27,z=-29..-14
on x=-19..30,y=-45..0,z=-26..21
off x=-8..11,y=-4..15,z=-6..5
on x=-36..9,y=-34..16,z=-48..4
off x=-35..-22,y=-35..-17,z=-5..13
on x=-17..30,y=-11..35,z=-18..35
off x=4..21,y=-19..-8,z=-29..-18
on x=-47..1,y=-5..41,z=-13..40
off x=18..31,y=-47..-28,z=31..44
on x=-39..11,y=-2..49,z=-7..37
on x=59948..77225,y=-23808..-9387,z=7715..32589
on x=50928..60239,y=-16409..-5204,z=51701..66341
on x=-70857..-38119,y=-48880..-32940,z=-59519..-25446
on x=34659..51798,y=36859..47631,z=-78056..-58506
on x=24466..49551,y=-63135..-45703,z=40568..46891
on x=36065..44964,y=-66141..-46768,z=15860..51738
on x=-43929..-30796,y=54352..77794,z=-25429..2466
on x=-21467..3054,y=30827..61109,z=-70969..-59488
on x=74284..82380,y=-8243..5954,z=-21798..4298
on x=-67855..-49197,y=44082..64316,z=-37876..-6139
on x=3972..13181,y=-89954..-60769,z=-8964..17547
on x=45537..72942,y=-52362..-40435,z=-34119..-19891
on x=-2028..14997,y=35442..60991,z=61443..68750
on x=-43916..-28061,y=-55465..-48755,z=42998..63681
on x=73350..88457,y=-11874..16030,z=26440..31762
on x=-65313..-56356,y=-53026..-32520,z=34300..39265
on x=-32146..-12079,y=50972..72550,z=22248..46391
on x=-46657..-43006,y=-16969..11204,z=-82344..-47383
on x=35995..47370,y=35895..62150,z=39655..60420
on x=-65653..-39728,y=-60635..-31172,z=-63220..-37129
on x=-9288..10739,y=-16832..4120,z=-88004..-69447
on x=-38863..-28980,y=-63737..-41900,z=37942..62217
on x=-13517..-5187,y=52267..70255,z=37003..43218
on x=-80174..-58479,y=-27669..-13937,z=22740..39119
on x=40481..79327,y=-50686..-34109,z=-47873..-19251
on x=-53141..-25290,y=4087..26829,z=-76669..-49306
on x=47628..74073,y=30788..65007,z=-5729..24076
on x=-27429..1716,y=-38795..-25619,z=-80470..-60991
on x=-85532..-76247,y=-20583..-14388,z=-6180..6938
on x=36136..54651,y=681..16673,z=54021..88347
on x=-10839..2952,y=44009..73991,z=-76526..-37503
on x=-80935..-54015,y=20375..47723,z=-44985..-11570
on x=-29152..-17522,y=-79004..-70473,z=-19513..9075
on x=42805..56719,y=-71746..-63383,z=-8020..9317
on x=23827..62622,y=8817..33810,z=-63712..-56192
on x=23854..50148,y=54657..74822,z=-35286..-16764
on x=16361..35905,y=-50459..-25278,z=59114..81629
on x=50416..73692,y=13668..34439,z=-58964..-28733
on x=-16085..5956,y=33773..54756,z=53424..59946
on x=29300..59677,y=16972..31580,z=-67574..-43566
on x=-66498..-35764,y=-48191..-20365,z=-45669..-26894
on x=-5249..15206,y=66472..87991,z=-25088..-6346
on x=44940..47047,y=-7875..6164,z=48885..70603
on x=20334..45224,y=-58330..-39597,z=-66985..-51764
on x=-62110..-36926,y=-33844..-3332,z=-67989..-49276
on x=-79537..-46973,y=-41387..-22193,z=-56295..-18343
on x=35909..55950,y=-73326..-51004,z=951..14112
on x=-3548..16851,y=-66843..-45057,z=-70220..-51667
on x=69838..79527,y=-18994..9060,z=24208..40094
on x=-33158..-21723,y=-39086..-22336,z=68420..89585
on x=39270..59724,y=55673..65464,z=19151..38318
on x=52496..59201,y=-65214..-44553,z=14672..41441
on x=-80556..-51289,y=-6834..12651,z=45231..50265
on x=-42529..-37256,y=-71786..-46047,z=-45160..-29457
on x=-7292..20683,y=33964..38369,z=56266..81875
on x=56554..94857,y=-9323..7628,z=-38191..-15246
on x=-90239..-64199,y=-12106..4945,z=-31861..-6737
on x=-70665..-37138,y=-3664..17652,z=-65566..-55631
on x=39992..42010,y=5097..17932,z=-83176..-64675
on x=2050..15132,y=55300..79725,z=24637..48177
on x=-67167..-43932,y=-38348..-17508,z=32074..69487
